jap_cnt,home_cum,away_cum
0,1103,584
0,750,831
0,1006,2300
0,555,1121
0,1328,1006
0,1399,747
0,518,555
0,941,2300
0,735,584
0,831,1042
0,947,1103
0,894,1185
0,1121,750
0,3027,1220
0,576,1761
0,1399,555
0,1042,3027
0,1185,1220
0,584,831
0,747,1006
0,2300,894
0,1121,735
0,1761,947
0,1103,941
0,576,1328
0,750,518
0,1328,1042
0,518,894
0,2300,1399
0,1220,1761
0,1185,750
0,735,576
0,3027,584
0,831,1103
0,947,1121
0,1006,941
0,555,747
